Site,County,Location,Site type,Element,Age,Sex,Lab code,14C BP,±,  95% cal BC,cal BC,median,d13C,d15N,C:N,,,,,
Aghanaglack,Fermanagh,inland,court tomb,occipital,adult,I,UB-6731,3446,38,1881,1665,1759,-22.0,N/A,3.1,,,,,
Aghanaglack,Fermanagh,inland,court tomb,vertebra,adolescent,I,UB-6730,3433,39,1879,1641,1740,-23.0,11.1,3.3,,,,,
Annagh,Limerick,inland,cave,N/A,adult,I,UB-15766,4682,29,3624,3370,3446,-20.9,9.5,3.3,,,,,
Annaghmare,Armagh,inland,court tomb,mandible,child,I,UB-6741,4556,35,3486,3103,3216,-22.3,11.3,2.8,,,,,
Ashleypark,Tipperary,inland,Linkardstown cist,"petrous, R",infant,M,UBA-38310,4876,35,3712,3539,3666,-21.6,12.0,3.2,,,,,
Audleystown,Down,coastal,court tomb,"tooth, mand LM1",child,I,UB-7593,3732,35,2277,2029,2134,-21.3,10.6,2.9,,,,,
Audleystown,Down,coastal,court tomb,tooth,child,I,UB-6979,3713,28,2199,2030,2094,-21.5,10.4,3.5,,,,,
Ballyalton,Down,coastal,court tomb,"tooth, max. LM1",child,M,UB-7192,4787,36,3650,3385,3568,-21.3,10.0,2.9,,,,,
Ballyalton,Down,coastal,court tomb,"tooth, mand. RM2",adult,M,UB-7191,4796,34,3650,3520,3568,-20.7,11.5,2.9,,,,,
Ballyedmond,Down,coastal,court tomb,"tooth, mand. M1/2",child,I,UB-6742,4737,35,3636,3377,3544,-20.9,9.5,3.1,,,,,
Ballynahatty,Down,coastal,passage tomb?,"tooth, max. M1",child,I,UB-7059,4465,38,3343,3020,3190,-21.6,10.5,3.4,,,,,
Ballynahatty,Down,coastal,passage tomb?,"tooth, mand. RM1",child,I,UB-7521,4584,37,3501,3106,3353,-21.5,11.2,2.9,,,,,
Ballynahatty,Down,coastal,passage tomb?,"tooth, mand. LM2",child,M,UB-7194,4587,34,3501,3116,3359,-21.1,11.0,2.8,,,,,
Carrigdirty,Limerick,coastal,river find,"clavicle, cranium",adult,I,"OxA-27217, 27232",4760,29,3639,3384,3572,-22.1,10.4,N/A,,,,,
